,customerID,Gender,Senior Citizen,Marital Status,Dependents,tenure in months,Priority Account,Credit Cards,Loan Account,Netbanking,Debit Card,MobileApp,TechSupport Availed,Zero Balance Account,FDs,Interest Deposited,Paperless Banking,Monthly Average Balance (USD),Yearly Average Balance (USD),Churn,Customer_Feedback,Category,Chatbot Response
0,0862-PRCBS,Female,0,Yes,Yes,68.0,Yes,Yes,top up loan,No,Yes,No,Yes,Yes,Yes,Two year,Yes,103.75,7039.45,No,The Savings Account minimum balance requirement is too high.,,"Thank you for your feedback regarding the minimum balance requirement for our Savings Account. I will forward your concerns to the relevant team for review. If you have any additional details or questions, feel free to let us know."
1,8713-IGZSO,Male,0,No,No,2.0,Yes,Yes,No,No,No,No,No,No,No,Month-to-month,No,24.85,62,No,My Debit Card often gets blocked without reason.,,"Thank you for reaching out and sharing your concern about your debit card. I apologize for the inconvenience you've experienced. I will forward this issue to our relevant team for a prompt resolution. To assist them better, could you please provide any specific instances or dates when your card was blocked?

Thank you for your patience and understanding."
2,6469-MRVET,Male,0,Yes,Yes,1.0,Yes,No,No,No,No,No,No,No,No,One year,Yes,20.2,20.2,No,The Savings Account minimum balance requirement is very low.,,"Thank you for your feedback regarding the Savings Account minimum balance requirement. I will forward your concern to the relevant team for review. If you have any other details you'd like to provide, please let us know."
3,0347-UBKUZ,Female,0,No,No,15.0,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,19.9,320.45,No,The loan interest rates are not competitive.,,"Thank you for your feedback regarding loan interest rates. We take customer concerns seriously and want to ensure you receive the best service. I'll forward your complaint to the relevant team for a closer look. If you have any specific details or recent experiences you'd like to share, please let us know."
4,5949-XIKAE,Female,0,Yes,Yes,8.0,Yes,No,top up loan,No,Yes,No,No,Yes,No,Month-to-month,Yes,83.55,680.05,Yes,The loan application process is very complicated.,,"Thank you for your feedback on the loan application process. We're sorry for any inconvenience you've experienced. We'll forward your concern to the relevant team for further review.

Best regards,
[Your Name]"
5,6522-YRBXD,Male,1,Yes,No,35.0,Yes,Yes,top up loan,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,94.55,3365.4,No,The loan officers are very knowledgeable and helpful.,,"Thank you for your feedback! I'll forward this to our loans team for further review. If you have any specific issues or additional comments, please let us know."
6,9385-EHGDO,Female,0,Yes,Yes,35.0,Yes,No,No,No,No,No,No,No,No,Two year,Yes,19.85,739.35,No,The loan interest rates are very competitive.,,"Thank you for bringing this to our attention. We'll forward your feedback regarding loan interest rates to the relevant team for review. If you have specific concerns or need further assistance, please let us know."
7,5787-KXGIY,Male,0,Yes,No,72.0,Yes,No,No,No,No,No,No,No,No,Two year,No,19.3,1304.8,No,The branch is always very crowded.,,"Thank you for your feedback. I understand your concern about the crowded branch. I'll forward this to the relevant team for further review. If you have any specific times or dates when it's particularly crowded, please let us know. Thank you for being with us for 72 months!"
8,4983-CLMLV,Female,0,Yes,No,52.0,Yes,Yes,top up loan,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,102.7,5138.1,No,The mobile banking app is very user-friendly.,,"Thank you for your feedback on our mobile banking app. We'll forward your comments to the relevant team for review. If you have any specific issues or suggestions, please let us know!"
9,6734-PSBAW,Male,0,Yes,No,72.0,Yes,Yes,No,No,No,No,No,No,No,Two year,Yes,23.55,1723.95,No,The loan customer service is very helpful.,,"Thank you for your feedback. I'm forwarding this to our Loans team to look into it further. If you have any specific concerns or details you'd like to share, please let us know!"
